"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-C8-A134-01","BRCA_Basal"," 0.7419","-1.4328","-3.5927","-0.6187","-3.3090","-2.8384","-0.6038","-3.1380"," 0.0262","-0.2345"," 0.7653","-1.6335","-1.9869"," 2.3297","-0.7299","-3.1132"," 0.9637","-0.1701","-1.1085","-4.0205"
"TCGA-C8-A135-01","BRCA_Her2"," 0.6562","-2.1534","-3.4927","-2.5482"," 0.0553","-1.7826"," 0.0242","-1.2156"," 0.4335","-0.7914","-1.4209","-1.2113"," 0.5925","-1.3232"," 0.0719","-2.6457","-2.3543","-2.3996","-0.7475","-0.2828"
"TCGA-C8-A137-01","BRCA_Her2"," 0.5276","-0.9405","-7.1183","-3.2740"," 0.0615","-1.9736"," 0.9018","-0.2990"," 0.2232"," 0.7506","-2.8321","-1.7255","-0.4159","-0.1810","-1.3128","-4.4317"," 0.6884","-2.0562","-0.5226","-1.0472"
"TCGA-C8-A138-01","BRCA_Her2"," 0.8370","-0.5776","-5.3921","-4.0104","-0.3580","-2.2192"," 1.3500","-0.1751","-2.8141","-1.4642"," 1.3799","-1.9728","-0.1161"," 0.3885","-0.7217","-2.2272","-1.7056","-0.7726"," 0.0147","-1.2992"
"TCGA-C8-A1HE-01","BRCA_LumA"," 0.4507"," 0.3544","-6.2308","-2.1409","-0.2940","-1.3603"," 2.2281","-0.8404"," 1.0087"," 1.0189","-0.0248","-1.3879"," 0.1555"," 0.0086","-1.1767","-2.9315"," 0.4553","-0.3881"," 0.3304","-1.4776"
"TCGA-C8-A1HF-01","BRCA_Her2"," 0.1634","-2.3649","-7.2164","-4.9060","-1.0446","-3.4565"," 1.3445","-0.8178","-0.8005","-0.6960","-3.1303","-1.8433","-0.5617","-1.1745","-1.4062","-2.6316"," 0.7787","-1.3880","-1.6015","-1.6095"
"TCGA-C8-A1HG-01","BRCA_LumB"," 0.4304","-2.9480","-7.8344","-4.7166","-1.6677","-3.3135"," 1.2237","-1.5835","-1.1098","-1.5092","-2.9439","-1.9621"," 1.0724","-1.6727","-0.8394","-3.5417"," 0.2768","-1.3184","-1.8476","-2.8529"
"TCGA-C8-A1HI-01","BRCA_LumA"," 0.4287","-0.3387","-3.4746","-1.5978","-1.9454","-1.2296"," 1.7085","-0.8485","-0.7926","-0.5561","-1.6792","-0.9517"," 0.5742"," 1.2979","-1.6433","-2.5243"," 0.0932","-1.5780","-0.9395","-1.2563"
"TCGA-C8-A1HJ-01","BRCA_Basal"," 0.5174","-2.4622"," 0.2921","-2.4244","-2.1980","-0.6046","-2.5194"," 0.5811"," 0.7467","-3.7946"," 0.7604","-0.2654"," 0.0887","-1.1117","-1.3190","-2.8354","-2.9372"," 0.4222","-0.9639","-2.9101"
"TCGA-C8-A1HK-01","BRCA_Her2"," 1.0155","-1.3079","-6.9327","-3.5187","-1.7262","-2.1457"," 0.2465","-2.4518"," 0.6781","-0.0780","-1.9212","-1.0405","-0.2979","-0.0138","-1.3456","-5.2368","-3.6444","-1.8748","-1.4471","-2.2006"
